R,G,B,gray,grad_mag,local_std,laplacian,boundary,image_id,split
52.0,77.0,73.0,67.333336,132.58624,13.436628,13.000008,1,100075,train
66.0,71.0,48.0,61.666668,97.017746,9.660901,18.66666,1,100075,train
132.0,138.0,124.0,131.33333,305.1619,31.22155,6.3333435,1,100075,train
38.0,58.0,47.0,47.666668,36.88118,8.340677,22.333328,1,100075,train
70.0,81.0,67.0,72.666664,195.1979,23.921911,79.33332,1,100075,train
133.0,131.0,119.0,127.666664,359.13382,37.0782,28.333351,1,100075,train
52.0,54.0,40.0,48.666668,63.000877,8.691012,41.999996,1,100075,train
104.0,114.0,89.0,102.333336,233.24617,23.506273,7.6666565,1,100075,train
66.0,98.0,93.0,85.666664,42.62759,5.8106937,9.000008,1,100075,train
76.0,103.0,98.0,92.333336,120.80102,14.516962,35.33333,1,100075,train
140.0,142.0,139.0,140.33333,392.04593,39.84104,11.333313,1,100075,train
25.0,38.0,28.0,30.333334,49.49523,6.2849607,25.666664,1,100075,train
63.0,83.0,71.0,72.333336,75.54542,10.529372,3.6666718,1,100075,train
113.0,118.0,112.0,114.333336,389.60294,39.407875,43.33332,1,100075,train
60.0,118.0,120.0,99.333336,41.033863,5.551077,28.666687,1,100075,train
99.0,113.0,96.0,102.666664,238.0439,25.536718,57.333336,1,100075,train
162.0,148.0,121.0,143.66667,62.28964,14.516189,92.33335,1,100075,train
63.0,85.0,82.0,76.666664,132.07152,17.766718,57.000015,1,100075,train
68.0,93.0,89.0,83.333336,6.798691,3.6709108,1.3333206,1,100075,train
53.0,65.0,55.0,57.666668,123.513374,14.027308,17.0,1,100075,train
55.0,91.0,91.0,79.0,25.236647,4.4887557,2.0,1,100075,train
44.0,79.0,73.0,65.333336,214.06645,21.523912,5.666664,1,100075,train
33.0,82.0,86.0,67.0,21.628166,8.812167,53.33333,1,100075,train
46.0,59.0,50.0,51.666668,113.74924,13.96382,42.999992,1,100075,train
129.0,132.0,121.0,127.333336,393.68628,40.775803,5.0000076,1,100075,train
72.0,117.0,120.0,103.0,180.31145,19.031147,13.333328,1,100075,train
96.0,112.0,102.0,103.333336,229.69788,25.619131,15.999992,1,100075,train
73.0,102.0,97.0,90.666664,70.079315,10.899263,5.333336,1,100075,train
117.0,106.0,74.0,99.0,61.40937,7.091065,1.0,1,100075,train
35.0,57.0,54.0,48.666668,118.85379,12.05349,3.9999962,1,100075,train
84.0,109.0,105.0,99.333336,146.78253,19.200144,2.6666489,1,100075,train
104.0,113.0,96.0,104.333336,63.641354,7.174104,27.333328,1,100075,train
60.0,67.0,51.0,59.333332,49.54908,5.6437407,6.3333435,1,100075,train
53.0,112.0,120.0,95.0,16.505888,3.1893377,8.666672,1,100075,train
89.0,99.0,90.0,92.666664,185.8805,20.60501,77.66667,1,100075,train
146.0,129.0,99.0,124.666664,68.451126,9.171862,15.000008,1,100075,train
77.0,106.0,101.0,94.666664,80.8428,10.185631,20.333336,1,100075,train
43.0,82.0,77.0,67.333336,64.37565,7.775302,13.33334,1,100075,train
63.0,82.0,62.0,69.0,74.86283,9.222907,18.333336,1,100075,train
58.0,121.0,130.0,103.0,41.01219,4.8990793,5.0,1,100075,train
69.0,108.0,103.0,93.333336,42.71092,6.5805554,5.3333206,1,100075,train
59.0,94.0,87.0,80.0,134.13757,13.647613,6.666664,1,100075,train
24.0,46.0,44.0,38.0,74.30866,8.02586,26.0,1,100075,train
73.0,105.0,104.0,94.0,44.51467,6.9601965,13.666664,1,100075,train
42.0,74.0,73.0,63.0,152.47003,16.90066,23.000004,1,100075,train
63.0,103.0,102.0,89.333336,26.907227,4.846018,19.333344,1,100075,train
43.0,79.0,79.0,67.0,17.38455,4.888328,30.666668,1,100075,train
100.0,108.0,93.0,100.333336,240.2522,25.294535,53.0,1,100075,train
49.0,76.0,67.0,64.0,111.67014,12.211235,18.333332,1,100075,train
75.0,123.0,127.0,108.333336,173.7482,18.40142,8.3333435,1,100075,train
61.0,111.0,118.0,96.666664,121.28296,12.071605,9.333328,1,100075,train
52.0,91.0,90.0,77.666664,166.21605,17.73452,17.666676,1,100075,train
40.0,69.0,65.0,58.0,109.35162,10.9654665,15.333336,1,100075,train
203.0,181.0,157.0,180.33333,86.3121,10.725535,12.0,1,100075,train
107.0,130.0,114.0,117.0,183.89671,19.337816,18.0,1,100075,train
50.0,91.0,87.0,76.0,41.001347,5.8198457,18.666664,1,100075,train
